alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Airfoil,CL/CD
5.0,0.6053,0.00906,0.00328,-0.0077,0.0587,0.999,airfoil_0010,66.81015452538631
6.0,0.7057,0.01026,0.00439,-0.0053,0.0333,1.0,airfoil_0010,68.78167641325535
7.0,0.7992,0.01148,0.00567,-0.0011,0.0261,1.0,airfoil_0010,69.61672473867596
8.0,0.8929,0.01303,0.00734,0.0028,0.0215,1.0,airfoil_0010,68.52647735993861
9.0,0.9869,0.01498,0.00947,0.0063,0.0174,1.0,airfoil_0010,65.8811748998665
10.0,1.0788,0.01737,0.01209,0.0097,0.0138,1.0,airfoil_0010,62.10708117443868
11.0,1.1623,0.02051,0.0155,0.0138,0.0113,1.0,airfoil_0010,56.66991711360313
12.0,1.2366,0.0241,0.01955,0.0186,0.01,1.0,airfoil_0010,51.31120331950207
13.0,1.2789,0.02895,0.02484,0.0261,0.0092,1.0,airfoil_0010,44.17616580310881
14.0,1.2511,0.04118,0.03774,0.0289,0.0087,1.0,airfoil_0010,30.381253035454105
15.0,1.1812,0.06842,0.06569,0.0113,0.0087,1.0,airfoil_0010,17.263957907044727
-5.0,-0.2125,0.0089,0.00306,-0.0671,0.8299,0.0699,airfoil_0014,-23.876404494382022
-4.0,-0.1011,0.00837,0.00243,-0.0661,0.776,0.0929,airfoil_0014,-12.07885304659498
-3.0,0.0107,0.00801,0.00202,-0.0652,0.7173,0.1318,airfoil_0014,1.3358302122347065
-2.0,0.1218,0.00778,0.00176,-0.0644,0.6535,0.1958,airfoil_0014,15.65552699228792
-1.0,0.2307,0.00728,0.00159,-0.0635,0.5855,0.3651,airfoil_0014,31.689560439560438
0.0,0.3369,0.00675,0.00165,-0.0621,0.5186,0.6412,airfoil_0014,49.91111111111111
1.0,0.4429,0.00671,0.00189,-0.0601,0.4591,0.8164,airfoil_0014,66.0059612518629
2.0,0.5466,0.00695,0.00226,-0.0571,0.4144,0.9463,airfoil_0014,78.64748201438849
3.0,0.6877,0.00755,0.00269,-0.0627,0.3822,0.9903,airfoil_0014,91.08609271523179
4.0,0.8331,0.00808,0.0031,-0.0697,0.3575,0.9999,airfoil_0014,103.10643564356434
5.0,0.9256,0.00857,0.0035,-0.0654,0.3352,0.9999,airfoil_0014,108.0046674445741
6.0,1.0232,0.00908,0.00398,-0.0621,0.3099,0.9999,airfoil_0014,112.68722466960354
7.0,1.1232,0.0098,0.0046,-0.0595,0.2757,0.9999,airfoil_0014,114.61224489795919
8.0,1.2184,0.01098,0.00556,-0.0563,0.2222,0.9999,airfoil_0014,110.96539162112931
9.0,1.3042,0.01272,0.007,-0.0519,0.1592,0.9999,airfoil_0014,102.5314465408805
10.0,1.3752,0.01489,0.00892,-0.0452,0.1059,0.9999,airfoil_0014,92.35728676964405
11.0,1.4332,0.01751,0.0114,-0.037,0.0703,0.9999,airfoil_0014,81.85037121644774
12.0,1.4844,0.02079,0.01469,-0.0294,0.0512,0.9999,airfoil_0014,71.39971139971139
13.0,1.5275,0.02511,0.01912,-0.0229,0.0406,0.9999,airfoil_0014,60.83233771405815
14.0,1.5563,0.03136,0.02557,-0.0178,0.0339,0.9999,airfoil_0014,49.62691326530612
15.0,1.5666,0.04049,0.03497,-0.0149,0.0295,0.9999,airfoil_0014,38.69103482341319
-5.0,-0.2814,0.00887,0.00351,-0.0739,0.9802,0.0257,airfoil_0004,-31.724915445321308
-4.0,-0.1485,0.0077,0.00239,-0.0783,0.9738,0.0558,airfoil_0004,-19.285714285714285
-3.0,-0.0277,0.00656,0.00162,-0.0799,0.9581,0.1658,airfoil_0004,-4.222560975609756
-2.0,0.0824,0.00556,0.00122,-0.0792,0.9376,0.3589,airfoil_0004,14.820143884892087
-1.0,0.1932,0.00492,0.00103,-0.0785,0.9128,0.5331,airfoil_0004,39.268292682926834
0.0,0.3034,0.00454,0.00096,-0.0773,0.8745,0.6745,airfoil_0004,66.82819383259913
1.0,0.4055,0.00406,0.00102,-0.074,0.8069,0.9026,airfoil_0004,99.8768472906404
2.0,0.5143,0.00501,0.0012,-0.0726,0.5892,0.9999,airfoil_0004,102.65469061876247
3.0,0.6144,0.00668,0.00182,-0.0703,0.3298,0.9999,airfoil_0004,91.9760479041916
4.0,0.7129,0.00885,0.00287,-0.0681,0.079,0.9999,airfoil_0004,80.55367231638418
5.0,0.8179,0.01024,0.00404,-0.0664,0.0262,0.9999,airfoil_0004,79.87304687499999
6.0,0.921,0.01188,0.00576,-0.0642,0.0161,0.9999,airfoil_0004,77.52525252525253
7.0,1.0187,0.0142,0.00834,-0.0611,0.013,0.9999,airfoil_0004,71.7394366197183
8.0,1.1087,0.01753,0.01196,-0.0569,0.011,0.9999,airfoil_0004,63.24586423274387
9.0,1.1899,0.0225,0.01755,-0.0515,0.0095,0.9999,airfoil_0004,52.88444444444445
10.0,1.2546,0.02888,0.0247,-0.0446,0.0084,0.9999,airfoil_0004,43.44182825484764
11.0,1.2039,0.0241,0.02075,-0.0239,0.0078,0.9999,airfoil_0004,49.954356846473026
12.0,1.1826,0.05482,0.05246,-0.0224,0.0072,0.9999,airfoil_0004,21.572418825246263
-5.0,0.3985,0.04553,0.04163,-0.0815,0.3724,0.0137,airfoil_0009,8.752470898308808
-4.0,0.4829,0.03556,0.0315,-0.0902,0.3645,0.0142,airfoil_0009,13.57986501687289
-3.0,0.5834,0.02763,0.02344,-0.0978,0.3589,0.0159,airfoil_0009,21.114730365544702
-2.0,0.7007,0.02065,0.01612,-0.105,0.3519,0.0166,airfoil_0009,33.932203389830505
-1.0,0.8082,0.01593,0.01118,-0.1086,0.3456,0.0188,airfoil_0009,50.73446327683616
0.0,0.9259,0.01232,0.00726,-0.1114,0.3395,0.0217,airfoil_0009,75.15422077922078
-5.0,-0.1988,0.01107,0.00445,-0.0367,0.6081,0.0384,airfoil_0016,-17.95844625112918
-4.0,-0.0903,0.01068,0.00372,-0.0348,0.5185,0.0435,airfoil_0016,-8.455056179775282
-2.0,0.13,0.01033,0.00282,-0.0319,0.3846,0.0583,airfoil_0016,12.584704743465634
-1.0,0.242,0.01018,0.00258,-0.0309,0.3525,0.0698,airfoil_0016,23.772102161100197
0.0,0.3548,0.01014,0.00251,-0.0302,0.331,0.0915,airfoil_0016,34.990138067061146
1.0,0.4539,0.00844,0.00245,-0.0277,0.316,0.6567,airfoil_0016,53.77962085308057
2.0,0.5544,0.00811,0.00284,-0.024,0.3021,0.9073,airfoil_0016,68.36004932182492
3.0,0.6629,0.00862,0.00333,-0.0219,0.2883,0.9698,airfoil_0016,76.90255220417635
4.0,0.8093,0.00935,0.00391,-0.0288,0.273,0.986,airfoil_0016,86.55614973262031
5.0,0.9531,0.00992,0.0044,-0.0354,0.2606,0.9943,airfoil_0016,96.07862903225806
6.0,1.0966,0.01049,0.00495,-0.0422,0.249,0.9999,airfoil_0016,104.53765490943756
7.0,1.1789,0.0111,0.00555,-0.0364,0.2394,0.9999,airfoil_0016,106.2072072072072
8.0,1.262,0.01181,0.00625,-0.0308,0.2291,0.9999,airfoil_0016,106.85859441151567
9.0,1.3502,0.01255,0.00708,-0.0264,0.2201,0.9999,airfoil_0016,107.58565737051794
10.0,1.4399,0.01352,0.00811,-0.0227,0.2081,0.9999,airfoil_0016,106.50147928994082
11.0,1.5228,0.01468,0.00935,-0.0183,0.196,0.9999,airfoil_0016,103.73297002724794
12.0,1.6005,0.01612,0.01087,-0.0136,0.1819,0.9999,airfoil_0016,99.28660049627793
13.0,1.6696,0.01824,0.01306,-0.0089,0.1637,0.9999,airfoil_0016,91.53508771929825
14.0,1.7239,0.02155,0.01649,-0.0039,0.1481,0.9999,airfoil_0016,79.9953596287703
15.0,1.7631,0.02656,0.02166,0.0001,0.1336,0.9999,airfoil_0016,66.38177710843372
-4.0,-0.0005,0.00753,0.0023,-0.1156,0.9516,0.0472,airfoil_0015,-0.06640106241699867
-3.0,0.1132,0.00663,0.00166,-0.1157,0.9377,0.1355,airfoil_0015,17.07390648567119
-2.0,0.2253,0.00574,0.00122,-0.1154,0.9174,0.3037,airfoil_0015,39.25087108013937
-1.0,0.3378,0.00523,0.00107,-0.1151,0.8956,0.4491,airfoil_0015,64.5889101338432
0.0,0.4508,0.00485,0.00109,-0.1149,0.8715,0.6165,airfoil_0015,92.94845360824742
1.0,0.5613,0.0046,0.00115,-0.1138,0.8304,0.7513,airfoil_0015,122.0217391304348
2.0,0.6642,0.00451,0.00126,-0.1107,0.7284,0.9999,airfoil_0015,147.27272727272728
3.0,0.7536,0.00665,0.00202,-0.106,0.4131,0.9999,airfoil_0015,113.3233082706767
4.0,0.8445,0.00925,0.00326,-0.1023,0.1112,0.9999,airfoil_0015,91.2972972972973
5.0,0.9442,0.01102,0.00463,-0.0998,0.0286,0.9999,airfoil_0015,85.68058076225046
6.0,1.0451,0.01257,0.00626,-0.0972,0.0186,0.9999,airfoil_0015,83.14240254574383
7.0,1.1385,0.01489,0.0088,-0.0932,0.0141,0.9999,airfoil_0015,76.46071188717261
8.0,1.2213,0.01844,0.01263,-0.0877,0.0109,0.9999,airfoil_0015,66.23101952277656
9.0,1.3052,0.02171,0.0163,-0.0824,0.0095,0.9999,airfoil_0015,60.119760479041915
10.0,1.3782,0.02543,0.0204,-0.076,0.0081,0.9999,airfoil_0015,54.19583169484861
11.0,1.4012,0.03356,0.02946,-0.0629,0.0071,0.9999,airfoil_0015,41.75208581644815
12.0,1.3765,0.04386,0.04067,-0.0479,0.0066,0.9999,airfoil_0015,31.38394892840857
13.0,1.3009,0.06243,0.06013,-0.0422,0.0064,0.9999,airfoil_0015,20.83773826685888
14.0,1.1844,0.10329,0.10174,-0.0659,0.0067,0.9999,airfoil_0015,11.466744118501305
15.0,0.75,0.16045,0.15907,-0.0726,0.0102,0.9999,airfoil_0015,4.674353381115612
-5.0,0.214,0.00895,0.00322,-0.1728,0.7401,0.1754,airfoil_0017,23.910614525139664
-4.0,0.3234,0.00873,0.00298,-0.1716,0.7167,0.1996,airfoil_0017,37.044673539518904
-3.0,0.4302,0.0086,0.00284,-0.1699,0.6932,0.228,airfoil_0017,50.02325581395349
